ID,assignment,country,year
Z0083261,Cosmopolitan AF1b,Kenya,2022
Z0083262,Cosmopolitan AF1b,Kenya,2022
Z0083263,Cosmopolitan AF1b,Kenya,2022
Z0083265,Cosmopolitan AF1b,Kenya,2021
Z0829313,Cosmopolitan AF1b,Kenya,2022
Z0829323,Cosmopolitan AF1b,Kenya,2022
Z0829325,Cosmopolitan AF1b,Kenya,2022
Z0829333,Cosmopolitan AF1b,Kenya,2022
Z0829334,Cosmopolitan AF1b,Kenya,2022
Z0829335,Cosmopolitan AF1b,Kenya,2022
Z0829337,Cosmopolitan AF1b,Kenya,2022
Z0829340,Cosmopolitan AF1b,Kenya,2022
Z0829341,Cosmopolitan AF1b,Kenya,2022
Z0829343,Cosmopolitan AF1b,Kenya,2022
Z0829344,Cosmopolitan AF1b,Kenya,2022
Z0828879,,Kenya,2018
